topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
2,4,8,large,1,2g,2,1,1g,0.6,0.6,true,true,80k,6m,false,56m,snappy,160,false,23.935,0
2,4,8,large,3,3g,2,4,1g,0.3,0.6,false,false,128k,22m,true,64m,snappy,128,false,18.0865,0
2,4,8,large,2,6g,2,2,3g,0.3,0.6,false,true,32k,18m,true,96m,lz4,224,false,21.964,0
2,4,8,large,2,1g,2,4,4g,0.4,0.3,true,true,64k,14m,false,80m,snappy,160,true,18.626,0
2,4,8,large,4,5g,2,2,2g,0.8,0.5,false,true,64k,12m,true,56m,snappy,224,false,16.2995,0
2,4,8,large,1,2g,2,3,3g,0.3,0.5,false,false,64k,18m,false,72m,snappy,256,false,24.2545,0
2,4,8,large,4,1g,2,3,3g,0.4,0.8,true,false,96k,6m,false,72m,snappy,128,true,15.932,0
2,4,8,large,4,6g,2,3,3g,0.3,0.3,false,false,96k,22m,true,80m,snappy,192,false,17.0055,0
2,4,8,large,2,4g,2,4,1g,0.8,0.6,true,true,48k,8m,false,80m,lz4,160,false,18.185,0
2,4,8,large,4,1g,2,2,1g,0.4,0.3,false,true,80k,22m,false,80m,lz4,192,true,15.3425,0
2,4,8,large,1,3g,2,1,2g,0.8,0.6,false,false,96k,4m,false,72m,lz4,128,true,22.898,0
2,4,8,large,2,1g,2,4,1g,0.4,0.5,false,false,96k,14m,true,48m,snappy,256,false,18.0455,0
2,4,8,large,1,8g,2,4,4g,0.3,0.5,true,true,64k,6m,true,80m,snappy,160,false,31.6375,0
2,4,8,large,3,3g,2,4,3g,0.3,0.4,true,false,64k,12m,true,64m,lz4,160,true,18.742,0
2,4,8,large,3,1g,2,4,4g,0.8,0.4,true,false,112k,8m,false,56m,snappy,224,false,16.875,0
2,4,8,large,2,4g,2,2,1g,0.8,0.6,true,true,128k,18m,false,64m,lz4,256,false,19.12,0
2,4,8,large,1,6g,2,3,4g,0.3,0.4,true,false,48k,22m,false,48m,snappy,256,false,31.3215,0
2,4,8,large,1,3g,2,3,2g,0.6,0.6,false,true,32k,8m,false,48m,lz4,256,true,22.29,0
2,4,8,large,1,4g,2,4,1g,0.4,0.5,false,true,112k,18m,true,80m,lz4,256,true,23.2595,0
