topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
4,2,4,large,2,1g,2,3,4g,0.7,0.5,false,false,96k,4m,true,64m,lz4,128,false,27.211,0
4,2,4,large,1,1g,4,2,2g,0.4,0.8,true,true,64k,24m,false,64m,snappy,224,true,40.728,0
4,2,4,large,2,3g,3,3,3g,0.7,0.3,true,false,112k,20m,false,96m,snappy,224,true,29.8205,0
4,2,4,large,1,4g,3,1,4g,0.6,0.3,true,false,80k,14m,true,56m,lz4,224,false,35.1865,0
4,2,4,large,1,1g,3,2,1g,0.7,0.4,true,false,48k,10m,true,72m,lz4,160,true,37.147,0
4,2,4,large,1,3g,4,3,4g,0.7,0.8,false,false,32k,14m,true,64m,snappy,256,true,35.133,0
4,2,4,large,1,4g,4,2,2g,0.6,0.6,true,true,80k,10m,false,56m,lz4,192,true,32.047,0
4,2,4,large,2,3g,2,3,1g,0.7,0.6,false,true,96k,12m,false,48m,lz4,224,false,26.003,0
4,2,4,large,1,1g,3,3,3g,0.6,0.6,false,false,32k,18m,true,56m,snappy,224,true,33.3385,0
4,2,4,large,1,2g,3,1,2g,0.4,0.3,true,true,96k,14m,false,80m,snappy,224,false,35.2435,0
4,2,4,large,1,3g,2,2,1g,0.6,0.3,true,false,112k,20m,false,96m,snappy,192,true,30.972,0
4,2,4,large,2,2g,3,4,1g,0.3,0.8,true,false,128k,4m,false,72m,lz4,192,false,25.691,0
4,2,4,large,2,3g,4,2,4g,0.7,0.3,false,false,80k,10m,true,88m,lz4,128,true,26.0925,0
4,2,4,large,1,2g,3,2,2g,0.7,0.5,false,true,48k,8m,true,48m,lz4,256,true,33.102,0
4,2,4,large,1,3g,2,3,3g,0.3,0.3,true,false,48k,20m,false,80m,snappy,192,false,31.1005,0
4,2,4,large,2,3g,2,4,3g,0.5,0.4,true,true,80k,18m,false,88m,lz4,192,false,28.078,0
