trial,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
0,19.162721617535365,2,4,3,0.7,0.5,151,5120.0,2048.0,128.0,20.0,80.0,0,0,0,1,snappy
1,18.438009607529604,2,2,3,0.6,0.4,174,2048.0,2048.0,80.0,16.0,72.0,0,0,1,0,snappy
2,16.471302624060613,4,4,1,0.8,0.7,160,5120.0,1024.0,32.0,12.0,96.0,1,1,0,1,lz4
3,26.09879531771394,1,2,4,0.3,0.8,206,7168.0,2048.0,64.0,8.0,96.0,0,1,1,0,snappy
4,15.974701773445181,4,2,1,0.4,0.3,218,6144.0,1024.0,32.0,14.0,96.0,0,1,1,0,lz4
5,17.35264505968303,3,3,1,0.6,0.3,173,6144.0,2048.0,80.0,20.0,88.0,0,0,1,1,lz4
6,15.987527797123448,4,2,1,0.5,0.6,228,2048.0,4096.0,128.0,18.0,72.0,0,0,0,0,snappy
7,16.196295560503017,4,3,2,0.5,0.6,129,8192.0,3072.0,128.0,8.0,56.0,0,0,1,0,snappy
8,18.045451797020963,3,2,4,0.4,0.8,147,3072.0,4096.0,32.0,6.0,80.0,1,1,0,1,lz4
9,18.651713515583317,2,4,2,0.8,0.8,191,2048.0,4096.0,48.0,22.0,64.0,1,1,0,1,snappy
10,17.50094291256278,3,3,2,0.4,0.3,245,1024.0,1024.0,96.0,14.0,48.0,1,1,1,0,lz4
11,15.867076459931832,4,2,1,0.5,0.6,230,4096.0,4096.0,112.0,18.0,72.0,0,0,0,0,lz4
12,15.938172959936159,4,2,1,0.5,0.6,222,4096.0,1024.0,112.0,24.0,96.0,0,0,0,0,lz4
13,15.880497243445857,4,2,1,0.5,0.6,254,4096.0,3072.0,112.0,24.0,72.0,0,0,0,0,lz4
14,17.272497125826767,3,3,2,0.5,0.6,252,4096.0,3072.0,112.0,18.0,72.0,0,0,0,0,lz4
15,25.60756592219283,1,3,1,0.5,0.6,242,4096.0,3072.0,112.0,4.0,72.0,0,0,0,0,lz4
16,15.986279254282543,4,2,3,0.3,0.4,239,4096.0,4096.0,112.0,10.0,72.0,0,0,0,0,lz4
17,17.32030897513471,3,2,2,0.7,0.5,202,4096.0,3072.0,112.0,24.0,64.0,0,0,0,0,lz4
18,15.98985344918713,4,2,1,0.5,0.7,256,1024.0,3072.0,96.0,18.0,88.0,1,0,0,0,lz4
19,17.295521582187316,3,3,2,0.5,0.6,233,7168.0,4096.0,64.0,24.0,56.0,0,0,0,0,lz4
20,15.995646390650544,4,3,1,0.5,0.6,206,3072.0,4096.0,48.0,12.0,48.0,0,0,0,0,lz4
21,15.938172959936159,4,2,1,0.5,0.6,221,4096.0,1024.0,112.0,24.0,96.0,0,0,0,0,lz4
22,15.942819234186597,4,2,1,0.5,0.6,221,4096.0,1024.0,112.0,24.0,72.0,0,0,0,0,lz4
23,15.942819234186597,4,2,1,0.5,0.6,229,4096.0,1024.0,112.0,24.0,72.0,0,0,0,0,lz4
24,17.40534666077386,3,2,2,0.5,0.6,247,8192.0,3072.0,112.0,4.0,96.0,0,0,0,0,lz4
25,15.976342922458203,4,2,1,0.6,0.6,214,4096.0,1024.0,112.0,16.0,72.0,0,0,0,0,lz4
26,17.485768185811395,3,2,2,0.8,0.5,188,4096.0,4096.0,112.0,10.0,80.0,1,0,0,1,lz4
27,16.120754194924157,4,3,1,0.7,0.4,234,4096.0,3072.0,112.0,6.0,48.0,0,0,0,0,lz4
28,18.644799255613005,2,2,3,0.3,0.7,254,4096.0,4096.0,48.0,22.0,56.0,0,0,0,0,lz4
29,19.200918554786647,2,4,1,0.7,0.5,198,5120.0,2048.0,64.0,20.0,64.0,0,0,0,1,snappy
30,15.929578978621691,4,2,2,0.5,0.6,237,3072.0,1024.0,96.0,18.0,88.0,0,0,0,0,lz4
31,15.929578978621691,4,2,2,0.5,0.6,238,3072.0,1024.0,96.0,18.0,88.0,0,0,0,0,lz4
32,15.9463177038625,4,2,3,0.5,0.6,239,3072.0,1024.0,96.0,18.0,88.0,0,0,0,0,lz4
33,15.929578978621691,4,2,2,0.5,0.6,246,3072.0,1024.0,96.0,18.0,88.0,0,0,0,0,lz4
34,15.991898420663702,4,2,3,0.6,0.6,236,3072.0,1024.0,96.0,18.0,88.0,0,0,1,0,snappy
35,15.867256987880948,4,2,2,0.5,0.4,212,3072.0,2048.0,96.0,18.0,88.0,0,1,0,0,lz4
36,26.01693275054859,1,2,2,0.8,0.4,213,5120.0,2048.0,80.0,18.0,88.0,0,1,1,1,lz4
37,17.866966754492633,3,2,3,0.3,0.4,181,6144.0,2048.0,96.0,16.0,88.0,1,1,0,0,lz4
38,16.287850282491426,4,3,4,0.5,0.4,228,7168.0,2048.0,128.0,8.0,72.0,0,1,0,0,snappy
39,17.394106418376595,3,2,2,0.4,0.7,209,3072.0,2048.0,32.0,12.0,80.0,0,1,1,0,lz4
40,15.989456948876741,4,2,1,0.5,0.3,227,2048.0,2048.0,80.0,18.0,88.0,0,1,0,1,snappy
41,16.631000658234512,4,2,2,0.5,0.8,249,3072.0,1024.0,96.0,18.0,88.0,0,1,0,0,lz4
42,15.867256987880948,4,2,2,0.5,0.4,239,3072.0,3072.0,96.0,18.0,88.0,0,0,0,0,lz4
43,15.899007444908491,4,2,2,0.5,0.4,217,3072.0,3072.0,96.0,14.0,88.0,0,1,0,0,lz4
44,16.00592537303232,4,2,2,0.6,0.4,215,8192.0,3072.0,96.0,14.0,72.0,0,1,0,0,lz4
45,15.993748011061733,4,2,3,0.5,0.4,197,3072.0,3072.0,128.0,14.0,88.0,1,1,1,0,lz4
46,15.900717228013761,4,2,1,0.4,0.4,225,6144.0,3072.0,96.0,20.0,72.0,0,1,0,0,lz4
47,17.218794378335954,3,3,2,0.5,0.4,156,1024.0,3072.0,32.0,14.0,88.0,0,1,0,0,lz4
48,16.371232906933603,4,4,1,0.8,0.4,130,3072.0,3072.0,64.0,6.0,56.0,0,1,0,1,lz4
49,17.46110443256927,3,2,2,0.5,0.4,243,2048.0,3072.0,96.0,22.0,64.0,1,1,0,0,snappy
