timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
1,17.378129549479503,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
2,17.378129549479503,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
3,17.382296987751108,3,3,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
4,17.382296987751108,3,3,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
5,17.41139007730045,3,2,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
6,17.41139007730045,3,2,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
7,17.382296987751108,3,3,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
8,17.40949539547764,3,3,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,64.0,0,1,1,1,snappy
9,17.40949539547764,3,3,3,0.5,0.6,192,5120.0,3072.0,80.0,14.0,64.0,0,1,1,1,snappy
10,17.40949539547764,3,3,3,0.5,0.7,192,5120.0,3072.0,80.0,14.0,64.0,0,1,1,1,snappy
11,19.030874383866255,2,3,3,0.5,0.7,192,5120.0,3072.0,80.0,14.0,64.0,0,1,1,1,snappy
12,26.02959675154246,1,3,3,0.5,0.7,192,5120.0,3072.0,80.0,14.0,64.0,0,1,1,1,snappy
13,26.02959675154246,1,3,3,0.5,0.7,192,5120.0,3072.0,80.0,14.0,64.0,0,1,1,1,lz4
14,26.028593717732132,1,3,3,0.5,0.7,192,6144.0,3072.0,80.0,14.0,64.0,0,1,1,1,lz4
15,26.028593717732132,1,3,3,0.5,0.7,192,6144.0,3072.0,80.0,14.0,72.0,0,1,1,1,lz4
16,26.034247818261232,1,3,3,0.5,0.6,192,6144.0,3072.0,80.0,14.0,72.0,0,1,1,1,lz4
17,26.034247818261232,1,3,3,0.5,0.6,192,6144.0,3072.0,80.0,14.0,72.0,0,1,1,1,lz4
18,26.034247818261232,1,3,3,0.5,0.6,192,6144.0,3072.0,96.0,14.0,72.0,0,1,1,1,lz4
19,26.034247818261232,1,3,3,0.4,0.6,192,6144.0,3072.0,96.0,14.0,72.0,0,1,1,1,lz4
20,26.030552409310616,1,3,3,0.4,0.6,224,6144.0,3072.0,96.0,14.0,72.0,0,1,1,1,lz4
21,19.670583398533427,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,14.0,72.0,0,1,1,1,lz4
22,20.50611172549424,2,3,3,0.4,0.6,224,7168.0,3072.0,96.0,14.0,72.0,0,1,1,1,lz4
23,20.50611172549424,2,3,3,0.4,0.6,224,7168.0,3072.0,96.0,14.0,72.0,1,1,1,1,lz4
24,20.50611172549424,2,3,3,0.4,0.6,224,7168.0,3072.0,96.0,14.0,72.0,1,0,1,1,lz4
25,20.50611172549424,2,3,3,0.4,0.6,224,7168.0,3072.0,96.0,14.0,72.0,1,0,1,1,lz4
26,19.670583398533427,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,14.0,72.0,1,0,1,1,lz4
27,19.670583398533427,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,14.0,72.0,1,0,1,1,lz4
28,19.649112513759764,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,12.0,72.0,1,0,1,1,lz4
29,19.644667876414086,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
30,19.644667876414086,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,12.0,80.0,1,0,1,1,snappy
31,19.644667876414086,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,12.0,88.0,1,0,1,1,snappy
32,19.646382961290627,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,12.0,96.0,1,0,1,1,snappy
33,19.643433045465713,2,3,3,0.4,0.6,224,6144.0,3072.0,96.0,10.0,96.0,1,0,1,1,snappy
34,19.691684395774356,2,3,3,0.4,0.6,256,6144.0,3072.0,96.0,10.0,96.0,1,0,1,1,snappy
35,19.691684395774356,2,3,3,0.4,0.6,256,6144.0,3072.0,96.0,10.0,96.0,1,1,1,1,snappy
36,26.072399065689215,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,10.0,96.0,1,1,1,1,snappy
37,26.072399065689215,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,12.0,96.0,1,1,1,1,snappy
38,26.072399065689215,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,10.0,96.0,1,1,1,1,snappy
39,26.072399065689215,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,10.0,96.0,1,1,1,1,snappy
40,26.072399065689215,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,8.0,96.0,1,1,1,1,snappy
41,26.06704402453695,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,8.0,96.0,1,1,0,1,snappy
42,26.06704402453695,1,3,3,0.4,0.6,256,6144.0,3072.0,96.0,6.0,96.0,1,1,0,1,snappy
43,26.06704402453695,1,3,3,0.3,0.6,256,6144.0,3072.0,96.0,6.0,96.0,1,1,0,1,snappy
44,26.06704402453695,1,3,3,0.3,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,1,0,1,snappy
45,26.05029434738797,1,3,3,0.3,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,0,0,1,snappy
46,26.05029434738797,1,3,3,0.4,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,0,0,1,snappy
47,26.05029434738797,1,3,3,0.4,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,0,0,1,snappy
48,26.05029434738797,1,3,3,0.5,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,0,0,1,snappy
49,26.05029434738797,1,3,3,0.5,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,0,0,1,snappy
50,26.05029434738797,1,3,4,0.5,0.6,256,6144.0,4096.0,96.0,6.0,96.0,1,0,0,1,snappy
51,17.56139314128742,3,3,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
52,17.56139314128742,3,4,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
53,17.56139314128742,3,4,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
54,19.02583980669574,2,4,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,1,1,snappy
55,19.03932206630213,2,4,3,0.6,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,0,1,1,snappy
