episode,step,predicted_time,reward,epsilon,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
0,0,24.143680531971068,-0.3014675126163751,0.3,1,2,1,0.4,0.5,160,2048.0,1024.0,128.0,24.0,96.0,0,0,0,0,snappy
0,1,24.15741625727971,-0.0005689159650059665,0.3,1,2,1,0.4,0.5,192,2048.0,1024.0,128.0,24.0,96.0,0,0,0,0,snappy
0,2,24.146274822094526,0.0004612014408547009,0.3,1,2,1,0.5,0.5,192,2048.0,1024.0,128.0,24.0,96.0,0,0,0,0,snappy
0,3,18.567212745392393,0.2310527034835673,0.3,2,2,1,0.5,0.5,192,2048.0,1024.0,128.0,24.0,96.0,0,0,0,0,snappy
0,4,24.146274822094526,-0.30047924549615684,0.3,1,2,1,0.5,0.5,192,2048.0,1024.0,128.0,24.0,96.0,0,0,0,0,snappy
0,5,18.567212745392393,0.2310527034835673,0.3,2,2,1,0.5,0.5,192,2048.0,1024.0,128.0,24.0,96.0,0,0,0,0,snappy
0,6,18.567212745392393,0.0,0.3,2,2,1,0.5,0.5,192,2048.0,1024.0,112.0,24.0,96.0,0,0,0,0,snappy
0,7,18.690929995705176,-0.006663210682684964,0.3,2,3,1,0.5,0.5,192,2048.0,1024.0,112.0,24.0,96.0,0,0,0,0,snappy
0,8,18.690929995705176,0.0,0.3,2,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,9,24.247836721839583,-0.2973049884308207,0.3,1,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,10,18.690929995705176,0.22917123658826863,0.3,2,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,11,17.392818268623902,0.06945142523028847,0.3,3,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,12,18.690929995705176,-0.07463492730347368,0.3,2,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,13,17.392818268623902,0.06945142523028847,0.3,3,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,14,16.047468175728596,0.07735089691141514,0.3,4,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,15,17.392818268623902,-0.0838356604395773,0.3,3,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,16,16.047468175728596,0.07735089691141514,0.3,4,3,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
0,17,16.047468175728596,0.0,0.3,4,3,1,0.5,0.5,192,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,18,17.395086684261763,-0.08397701704567992,0.3,3,3,1,0.5,0.5,192,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,19,17.390956613715026,0.0002374274196904755,0.3,3,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,20,17.39675072173988,-0.0003331678730246091,0.3,3,3,1,0.5,0.5,224,3072.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,21,17.390956613715026,0.00033305690916258726,0.3,3,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,22,18.634679306733652,-0.07151548478004878,0.3,2,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,23,24.247836721839583,-0.30122103647244486,0.3,1,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,24,18.634679306733652,0.2314910595735851,0.3,2,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,25,17.390956613715026,0.06674237171171525,0.3,3,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,26,16.047468175728596,0.0772521298182594,0.3,4,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,27,17.390956613715026,-0.08371965117951899,0.3,3,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,28,16.047468175728596,0.0772521298182594,0.3,4,3,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,29,16.047468175728596,0.0,0.3,4,2,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,30,17.421597363898485,-0.08562903338535516,0.3,3,2,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,31,18.510962056420873,-0.06252955281699939,0.3,2,2,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,32,24.146274822094526,-0.3044311121430309,0.3,1,2,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,33,18.510962056420873,0.23338228390066953,0.3,2,2,1,0.5,0.5,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,34,18.539682546039277,-0.0015515395434805132,0.3,2,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,35,24.146274822094526,-0.30241037095066187,0.3,1,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,36,18.539682546039277,0.2321928461994087,0.3,2,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,37,17.421597363898485,0.060307676755751896,0.3,3,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,38,18.539682546039277,-0.06417810943431163,0.3,2,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,39,17.421597363898485,0.060307676755751896,0.3,3,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,40,16.047468175728596,0.07887503995571594,0.3,4,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,41,17.421597363898485,-0.08562903338535516,0.3,3,2,1,0.5,0.6,224,2048.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,42,17.422859064515933,-7.24216379872574e-05,0.3,3,2,1,0.5,0.6,224,3072.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,43,17.42934065622669,-0.0003720165379720351,0.3,3,2,1,0.5,0.6,192,3072.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,44,18.560492971801786,-0.06489931764406642,0.3,2,2,1,0.5,0.6,192,3072.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,45,23.851917982853067,-0.2850907580466926,0.3,1,2,1,0.5,0.6,192,3072.0,1024.0,96.0,22.0,96.0,0,0,0,0,snappy
0,46,23.862358732946593,-0.0004377320977303262,0.3,1,2,1,0.5,0.6,192,3072.0,1024.0,96.0,22.0,96.0,0,0,0,1,snappy
0,47,23.848623007637954,0.000575623116824311,0.3,1,2,1,0.5,0.6,160,3072.0,1024.0,96.0,22.0,96.0,0,0,0,1,snappy
0,48,23.848623007637954,0.0,0.3,1,2,1,0.5,0.6,160,3072.0,1024.0,80.0,22.0,96.0,0,0,0,1,snappy
0,49,23.838182257544425,0.00043779257570492335,0.3,1,2,1,0.5,0.6,160,3072.0,1024.0,80.0,22.0,96.0,0,0,0,0,snappy
1,0,16.047468175728596,0.0,0.2985,4,2,1,0.5,0.5,192,2048.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
1,1,15.967870870834416,0.004960116077037603,0.2985,4,2,1,0.5,0.5,192,3072.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
1,2,17.42952226037357,-0.09153702465172645,0.2985,3,2,1,0.5,0.5,192,3072.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
1,3,18.561587250362734,-0.06495100514389546,0.2985,2,2,1,0.5,0.5,192,3072.0,1024.0,112.0,22.0,96.0,0,0,0,0,snappy
