trial,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
0,19.106274161898153,2,3,3,0.7,0.5,151,5120.0,4096.0,32.0,8.0,48.0,0,0,1,1,snappy
1,19.182587111345814,2,2,4,0.7,0.3,222,5120.0,1024.0,80.0,8.0,56.0,0,0,1,0,lz4
2,17.7357226771583,3,3,2,0.7,0.8,169,4096.0,2048.0,112.0,8.0,64.0,0,0,0,0,lz4
3,18.435432038018355,2,2,4,0.3,0.6,173,2048.0,3072.0,128.0,18.0,72.0,0,0,1,0,lz4
4,17.68275213717947,3,3,4,0.7,0.3,199,1024.0,1024.0,128.0,6.0,96.0,1,0,1,0,lz4
5,26.01009657285027,1,3,3,0.5,0.7,217,5120.0,4096.0,128.0,12.0,72.0,1,0,1,1,lz4
6,18.71694230321429,2,3,2,0.6,0.7,169,1024.0,3072.0,112.0,10.0,88.0,1,0,0,1,snappy
7,17.61223935581218,3,3,1,0.7,0.5,218,2048.0,1024.0,48.0,6.0,96.0,1,1,1,1,lz4
8,18.617561037649867,2,3,2,0.8,0.3,173,4096.0,3072.0,80.0,16.0,96.0,1,0,1,0,lz4
9,17.979690738342462,3,3,1,0.3,0.8,180,3072.0,4096.0,80.0,22.0,56.0,1,1,0,0,lz4
10,23.859105110081398,1,2,1,0.4,0.5,245,2048.0,1024.0,48.0,6.0,80.0,1,1,0,1,snappy
11,17.72576741608781,3,3,4,0.7,0.4,207,1024.0,1024.0,48.0,6.0,96.0,1,1,1,1,lz4
12,17.62319091775332,3,3,3,0.7,0.5,250,1024.0,1024.0,64.0,14.0,96.0,1,1,1,1,lz4
13,17.734178057317713,3,3,3,0.8,0.5,254,2048.0,1024.0,64.0,14.0,96.0,1,1,1,1,lz4
14,17.455291208533485,3,2,1,0.6,0.5,233,3072.0,2048.0,96.0,24.0,96.0,1,1,1,1,snappy
15,17.455291208533485,3,2,1,0.6,0.5,228,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
16,17.45637405223299,3,2,1,0.6,0.4,232,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
17,18.502201945582627,2,2,2,0.6,0.6,235,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
18,23.79990930540653,1,2,1,0.6,0.5,237,3072.0,2048.0,96.0,24.0,80.0,0,1,0,1,snappy
19,17.498383549705686,3,2,1,0.6,0.5,192,3072.0,2048.0,96.0,20.0,64.0,1,1,1,1,snappy
20,18.511472017999864,2,2,2,0.4,0.5,136,3072.0,2048.0,96.0,4.0,48.0,1,1,1,1,snappy
21,17.45637405223299,3,2,1,0.6,0.4,226,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
22,17.456374052232995,3,2,1,0.6,0.4,234,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
23,17.456374052232995,3,2,1,0.6,0.4,211,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
24,17.478207525357085,3,2,2,0.5,0.4,243,3072.0,2048.0,32.0,24.0,88.0,1,1,1,1,snappy
25,17.455291208533485,3,2,1,0.6,0.6,231,3072.0,2048.0,96.0,24.0,88.0,1,1,1,1,snappy
26,17.316144854513805,3,2,1,0.6,0.6,201,3072.0,2048.0,96.0,10.0,88.0,0,1,0,1,snappy
27,18.601031023102276,2,2,2,0.6,0.6,193,4096.0,2048.0,96.0,10.0,48.0,0,1,0,1,snappy
28,17.32141552674281,3,2,1,0.6,0.6,200,3072.0,2048.0,96.0,10.0,72.0,0,1,0,1,snappy
29,19.05092291041611,2,2,2,0.8,0.6,149,5120.0,4096.0,32.0,10.0,72.0,0,1,0,1,snappy
