timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
1,18.571970799747948,2,3,3,0.6,0.6,192,3072.0,3072.0,80.0,14.0,72.0,0,1,1,1,snappy
2,18.58466299551515,2,3,3,0.6,0.6,192,3072.0,3072.0,80.0,12.0,72.0,0,1,1,1,snappy
3,18.58466299551515,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,72.0,0,1,1,1,snappy
4,18.600196628304683,2,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,64.0,0,1,1,1,snappy
5,17.342645463706262,3,3,3,0.6,0.7,192,3072.0,3072.0,80.0,12.0,64.0,0,1,1,1,snappy
6,17.401208914921973,3,3,3,0.6,0.7,160,3072.0,3072.0,80.0,12.0,64.0,0,1,1,1,snappy
7,17.296315753181748,3,3,3,0.6,0.7,160,3072.0,4096.0,80.0,12.0,64.0,0,1,1,1,snappy
8,17.237752301966037,3,3,3,0.6,0.7,192,3072.0,4096.0,80.0,12.0,64.0,0,1,1,1,snappy
9,17.235650425383263,3,3,3,0.6,0.7,192,3072.0,4096.0,80.0,12.0,64.0,0,1,1,1,lz4
10,17.235650425383263,3,3,3,0.6,0.7,192,3072.0,4096.0,80.0,12.0,64.0,0,1,1,1,lz4
11,17.21828345788045,3,3,3,0.7,0.7,192,3072.0,4096.0,80.0,12.0,64.0,0,1,1,1,lz4
12,17.208263212652728,3,3,3,0.7,0.7,192,3072.0,4096.0,80.0,10.0,64.0,0,1,1,1,lz4
13,17.19731975847316,3,3,3,0.7,0.7,192,3072.0,4096.0,80.0,10.0,64.0,0,1,0,1,lz4
14,17.19731975847316,3,3,3,0.7,0.7,192,3072.0,4096.0,64.0,10.0,64.0,0,1,0,1,lz4
15,17.175082449537243,3,3,3,0.7,0.7,192,3072.0,4096.0,64.0,10.0,64.0,0,1,0,0,lz4
16,17.215011993083973,3,3,4,0.7,0.7,192,3072.0,4096.0,64.0,10.0,64.0,0,1,0,0,lz4
