profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,shuffle_compress,spill_compress,broadcast_block,maxSizeInFlight,shuffle_file_buffer,io_codec,duration_s,throughput_Bps,input_bytes,exit_code
huge,2,3g,3,1,2g,0.6,false,false,8m,96m,128k,snappy,112.918125,288554845,32583072067,0
huge,2,3g,2,1,2g,0.6,false,true,8m,48m,128k,snappy,99.067922,328896290,32583072067,0
huge,2,3g,2,1,2g,0.6,false,false,8m,48m,32k,snappy,98.078192,332215260,32583072067,0
huge,2,3g,2,1,2g,0.4,true,false,8m,48m,128k,lz4,98.078192,332215260,32583072067,1
huge,2,2g,3,1,2g,0.4,true,true,4m,96m,32k,lz4,95.848644,339942963,32583072067,0
huge,2,2g,3,1,2g,0.4,true,false,8m,96m,32k,lz4,100.709521,323535170,32583072067,0
huge,2,2g,2,1,2g,0.4,false,true,8m,48m,128k,snappy,93.395062,348873606,32583072067,0
huge,2,3g,2,1,2g,0.6,true,false,8m,96m,128k,lz4,96.554672,337457229,32583072067,0
huge,2,3g,3,1,2g,0.4,true,false,8m,48m,128k,snappy,91.172624,357377803,32583072067,0
huge,2,3g,2,1,2g,0.4,false,true,8m,96m,128k,snappy,91.242393,357104532,32583072067,0
huge,2,2g,2,1,2g,0.4,false,false,8m,48m,32k,snappy,88.426607,368475882,32583072067,0
huge,2,2g,2,1,2g,0.4,true,true,8m,48m,128k,snappy,88.698608,367345923,32583072067,0
huge,2,2g,2,1,2g,0.6,true,true,4m,48m,128k,lz4,91.224041,357176372,32583072067,0
huge,2,2g,2,1,2g,0.4,false,false,8m,48m,128k,snappy,92.599079,351872528,32583072067,0
huge,2,3g,2,1,2g,0.4,false,true,4m,48m,32k,lz4,89.743921,363067177,32583072067,0
huge,2,2g,3,1,2g,0.6,true,true,4m,48m,32k,snappy,88.722956,367245113,32583072067,0
huge,2,2g,2,1,2g,0.4,false,false,4m,96m,32k,snappy,91.143726,357491113,32583072067,0
huge,2,2g,2,1,2g,0.6,false,false,8m,48m,128k,snappy,88.750505,367131117,32583072067,0
huge,2,3g,2,1,2g,0.4,true,false,4m,48m,128k,lz4,90.850379,358645417,32583072067,0
huge,2,2g,3,1,2g,0.6,false,true,4m,48m,128k,snappy,86.934641,374799639,32583072067,0
huge,2,2g,2,1,2g,0.4,false,false,8m,48m,128k,lz4,91.207925,357239484,32583072067,0
huge,2,3g,3,1,2g,0.4,true,true,8m,96m,128k,snappy,97.494842,334203034,32583072067,0
huge,2,3g,3,1,2g,0.4,true,false,4m,96m,128k,snappy,92.376654,352719769,32583072067,0
huge,2,2g,2,1,2g,0.4,false,true,8m,96m,128k,lz4,90.577629,359725380,32583072067,0
huge,2,3g,3,1,2g,0.4,true,false,8m,48m,128k,lz4,93.989613,346666732,32583072067,0
huge,2,3g,3,1,2g,0.4,false,true,8m,96m,32k,lz4,91.438617,356338198,32583072067,0
huge,2,2g,2,1,2g,0.6,false,true,8m,96m,128k,snappy,89.107993,365658241,32583072067,0
huge,2,2g,2,1,2g,0.4,false,true,4m,48m,32k,snappy,95.126315,342524274,32583072067,0
huge,2,3g,2,1,2g,0.6,false,true,8m,48m,32k,lz4,95.955233,339565347,32583072067,0
huge,2,3g,3,1,2g,0.4,true,true,8m,48m,32k,lz4,91.194176,357293343,32583072067,0
huge,2,2g,2,1,2g,0.4,true,false,8m,96m,128k,snappy,86.447694,376910829,32583072067,0
huge,2,2g,3,1,2g,0.6,false,true,8m,96m,128k,snappy,88.085468,369902922,32583072067,0
huge,2,3g,2,1,2g,0.6,false,true,4m,96m,128k,snappy,91.618547,355638384,32583072067,0
huge,2,2g,2,1,2g,0.6,false,true,8m,96m,128k,lz4,89.119753,365609990,32583072067,0
huge,2,3g,3,1,2g,0.4,false,false,8m,96m,128k,lz4,89.680805,363322698,32583072067,0
huge,2,2g,2,1,2g,0.4,false,false,8m,96m,32k,snappy,86.494780,376705647,32583072067,0
huge,2,3g,3,1,2g,0.4,false,true,8m,48m,128k,snappy,88.434953,368441107,32583072067,0
huge,2,3g,2,1,2g,0.6,true,false,4m,48m,128k,snappy,87.911275,370635871,32583072067,0
huge,2,2g,3,1,2g,0.6,true,false,4m,96m,32k,snappy,87.294441,373254833,32583072067,0
huge,2,2g,3,1,2g,0.4,true,false,4m,48m,32k,snappy,86.874395,375059556,32583072067,0
