episode,step,t_pred,executor_instances,executor_memory_mb,driver_memory_mb,memory_fraction,shuffle_compress_b,spill_compress_b,broadcast_block_mb,max_in_flight_mb,shuffle_file_buffer_mb,io_codec,rel_improve_from_best,profile
0,0,89.81284863354065,2,3072.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,0.006542490929480745,huge
0,1,90.17856244305122,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,-0.0040719542367793305,huge
1,0,90.4043180644633,3,3072.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,-0.00658557700731651,huge
1,1,91.09925285784277,3,2048.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,-0.014323164712779293,huge
2,0,90.48487741561148,2,2048.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,-0.007482546120019798,huge
2,1,91.0992528578427,3,2048.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,-0.014323164712778502,huge
3,0,89.66844266422257,2,3072.0,2048.0,0.6,1,1,4.0,64.0,0.0625,snappy,0.001607854238175869,huge
3,1,89.96158975329172,2,2048.0,2048.0,0.6,1,1,4.0,64.0,0.0625,snappy,-0.0032692336384929346,huge
4,0,89.67781132710763,2,3072.0,2048.0,0.6,1,1,4.0,96.0,0.0625,snappy,-0.00010448115977823581,huge
4,1,90.21948567721138,3,3072.0,2048.0,0.6,1,1,4.0,96.0,0.0625,snappy,-0.006145339392725708,huge
5,0,90.30610565727895,3,3072.0,2048.0,0.6,1,1,4.0,64.0,0.0625,snappy,-0.00711134234196761,huge
5,1,89.66844266422257,2,3072.0,2048.0,0.6,1,1,4.0,64.0,0.0625,snappy,0.0,huge
6,0,91.03188474100182,2,3072.0,2048.0,0.4,1,1,4.0,64.0,0.0625,snappy,-0.015205372551019666,huge
6,1,90.86397663569461,3,3072.0,2048.0,0.4,1,1,4.0,64.0,0.0625,snappy,-0.013332828539789725,huge
7,0,89.66844266422257,2,3072.0,2048.0,0.7,1,1,4.0,64.0,0.0625,snappy,0.0,huge
7,1,90.30610565727895,3,3072.0,2048.0,0.7,1,1,4.0,64.0,0.0625,snappy,-0.00711134234196761,huge
8,0,89.66844266422257,2,3072.0,2048.0,0.7,1,1,4.0,64.0,0.0625,snappy,0.0,huge
8,1,89.66844266422274,2,3072.0,2048.0,0.7,1,1,4.0,48.0,0.0625,snappy,-1.9017867548006954e-15,huge
9,0,89.66844266422257,2,3072.0,2048.0,0.7,1,1,4.0,64.0,0.0625,snappy,0.0,huge
9,1,89.81284863354065,2,3072.0,2048.0,0.7,1,1,8.0,64.0,0.0625,snappy,-0.0016104435967382277,huge
10,0,89.81284863354057,2,3072.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,-0.0016104435967372768,huge
10,1,89.2047543179423,2,3072.0,2048.0,0.6,1,0,8.0,64.0,0.0625,snappy,0.005171143074455051,huge
11,0,90.27309249923383,3,3072.0,2048.0,0.6,1,0,8.0,64.0,0.0625,snappy,-0.011976247112163633,huge
11,1,89.20475431794247,2,3072.0,2048.0,0.6,1,0,8.0,64.0,0.0625,snappy,-1.9116722857015282e-15,huge
12,0,89.244848912882,2,2048.0,2048.0,0.6,1,0,8.0,64.0,0.0625,snappy,-0.0004494670182801929,huge
12,1,90.39255490296026,3,2048.0,2048.0,0.6,1,0,8.0,64.0,0.0625,snappy,-0.013315440349562667,huge
13,0,89.97538615549092,2,3072.0,2048.0,0.4,1,0,8.0,64.0,0.0625,snappy,-0.008638909926279777,huge
13,1,89.97538615549075,2,3072.0,2048.0,0.4,1,0,8.0,64.0,0.03125,snappy,-0.008638909926277865,huge
14,0,89.76149547838075,2,3072.0,2048.0,0.6,1,0,8.0,64.0,0.125,snappy,-0.006241160179132606,huge
14,1,90.56344249862065,3,3072.0,2048.0,0.6,1,0,8.0,64.0,0.125,snappy,-0.01523111846523029,huge
15,0,89.20475431794239,2,3072.0,2048.0,0.7,1,0,8.0,64.0,0.0625,snappy,-9.558361428507641e-16,huge
15,1,90.27309249923383,3,3072.0,2048.0,0.7,1,0,8.0,64.0,0.0625,snappy,-0.011976247112163633,huge
16,0,89.1591544484416,2,3072.0,2048.0,0.6,0,0,8.0,64.0,0.0625,snappy,0.0005111820535728285,huge
16,1,89.15915444844151,2,3072.0,2048.0,0.7,0,0,8.0,64.0,0.0625,snappy,9.563249990276503e-16,huge
17,0,89.15915444844151,2,3072.0,2048.0,0.7,0,0,8.0,64.0,0.0625,snappy,9.563249990276503e-16,huge
17,1,90.42549322571988,3,3072.0,2048.0,0.7,0,0,8.0,64.0,0.0625,snappy,-0.014203126814202448,huge
18,0,89.15915444844151,2,3072.0,2048.0,0.7,0,0,8.0,64.0,0.0625,snappy,9.563249990276503e-16,huge
18,1,89.4327598594067,2,2048.0,2048.0,0.7,0,0,8.0,64.0,0.0625,snappy,-0.003068730436685808,huge
19,0,89.15915444844151,2,3072.0,2048.0,0.6,0,0,8.0,48.0,0.0625,snappy,9.563249990276503e-16,huge
19,1,90.42549322571988,3,3072.0,2048.0,0.6,0,0,8.0,48.0,0.0625,snappy,-0.014203126814202448,huge
20,0,90.17856244305113,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,-0.011433576293043852,huge
20,1,89.58504222089833,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.125,snappy,-0.004776713901016328,huge
21,0,89.41373539166264,2,3072.0,2048.0,0.6,0,0,8.0,64.0,0.125,snappy,-0.0028553539431361566,huge
21,1,90.13103559267333,3,3072.0,2048.0,0.6,0,0,8.0,64.0,0.125,snappy,-0.010900519977382062,huge
22,0,89.15915444844151,2,3072.0,2048.0,0.7,0,0,8.0,64.0,0.0625,snappy,9.563249990276503e-16,huge
22,1,89.20475431794239,2,3072.0,2048.0,0.7,1,0,8.0,64.0,0.0625,snappy,-0.0005114434943094919,huge
23,0,88.7032225902995,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.0625,snappy,0.005113685307611877,huge
23,1,88.30918907580036,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,0.00444215557217234,huge
24,0,89.29279390593143,3,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-0.011138193436322828,huge
24,1,90.09567859977955,3,3072.0,2048.0,0.6,0,1,4.0,64.0,0.125,snappy,-0.020229939179327625,huge
25,0,89.36482778079187,2,2048.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-0.011953894221420144,huge
25,1,90.16591655373622,3,2048.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-0.02102530322571683,huge
26,0,89.2927939059315,3,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-0.011138193436323633,huge
26,1,88.30918907580045,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-9.655295126538251e-16,huge
27,0,89.697895917892,2,3072.0,2048.0,0.4,0,0,4.0,64.0,0.125,snappy,-0.015725507805304805,huge
27,1,89.34205987586446,2,3072.0,2048.0,0.4,0,0,4.0,64.0,0.125,lz4,-0.011696073883970742,huge
28,0,88.30918907580045,2,3072.0,2048.0,0.7,0,0,4.0,64.0,0.125,snappy,-9.655295126538251e-16,huge
28,1,88.89669119940919,2,3072.0,2048.0,0.7,0,0,4.0,96.0,0.125,snappy,-0.006652785851136569,huge
29,0,88.54654029142287,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,lz4,-0.0026877295342252494,huge
29,1,89.39560245837151,3,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,lz4,-0.01230238205039599,huge
30,0,88.30918907580045,2,3072.0,2048.0,0.7,0,0,4.0,64.0,0.125,snappy,-9.655295126538251e-16,huge
30,1,89.29279390593135,3,3072.0,2048.0,0.7,0,0,4.0,64.0,0.125,snappy,-0.011138193436321862,huge
31,0,88.77048127073977,2,3072.0,2048.0,0.6,1,0,4.0,64.0,0.125,snappy,-0.005223603565688419,huge
31,1,89.5710346905767,3,3072.0,2048.0,0.6,1,0,4.0,64.0,0.125,snappy,-0.01428895031176457,huge
32,0,89.37056397889188,2,3072.0,2048.0,0.6,0,1,4.0,64.0,0.125,snappy,-0.012018850067578874,huge
32,1,90.09567859977955,3,3072.0,2048.0,0.6,0,1,4.0,64.0,0.125,snappy,-0.020229939179327625,huge
33,0,89.697895917892,2,3072.0,2048.0,0.4,0,0,4.0,64.0,0.125,snappy,-0.015725507805304805,huge
33,1,89.34205987586455,2,3072.0,2048.0,0.4,0,0,4.0,64.0,0.125,lz4,-0.011696073883971708,huge
34,0,89.29279390593143,3,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-0.011138193436322828,huge
34,1,88.30918907580045,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-9.655295126538251e-16,huge
35,0,89.697895917892,2,3072.0,2048.0,0.4,0,0,4.0,64.0,0.125,snappy,-0.015725507805304805,huge
35,1,89.34205987586455,2,3072.0,2048.0,0.4,0,0,4.0,64.0,0.125,lz4,-0.011696073883971708,huge
36,0,89.41373539166271,2,3072.0,2048.0,0.6,0,0,8.0,64.0,0.125,snappy,-0.012507716664845162,huge
36,1,88.30918907580045,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-9.655295126538251e-16,huge
37,0,88.30918907580045,2,3072.0,2048.0,0.6,0,0,4.0,48.0,0.125,snappy,-9.655295126538251e-16,huge
37,1,89.29279390593143,3,3072.0,2048.0,0.6,0,0,4.0,48.0,0.125,snappy,-0.011138193436322828,huge
38,0,88.89669119940919,2,3072.0,2048.0,0.6,0,0,4.0,96.0,0.125,snappy,-0.006652785851136569,huge
38,1,88.78115059072186,3,3072.0,2048.0,0.6,0,0,4.0,96.0,0.125,snappy,-0.005344421343473033,huge
39,0,89.36482778079187,2,2048.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-0.011953894221420144,huge
39,1,88.30918907580045,2,3072.0,2048.0,0.6,0,0,4.0,64.0,0.125,snappy,-9.655295126538251e-16,huge
