episode,step,t_pred,executor_instances,executor_memory_mb,driver_memory_mb,memory_fraction,shuffle_compress_b,spill_compress_b,broadcast_block_mb,max_in_flight_mb,shuffle_file_buffer_mb,io_codec,rel_improve_from_best,profile
0,0,95.39163572490045,2,3072.0,2048.0,0.6,1,1,8.0,64.0,0.0625,snappy,0.0001286946503336893,large
0,1,94.44201926554669,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,0.009954923742919744,large
1,0,93.55627088679961,3,3072.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,0.009378753076600198,large
1,1,93.92809434118612,3,2048.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,-0.0039743295757952,large
2,0,94.44201926554669,2,3072.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,-0.009467546860849245,large
2,1,93.55627088679961,3,3072.0,2048.0,0.6,0,1,8.0,64.0,0.0625,snappy,0.0,large
3,0,96.2126541067918,3,3072.0,2048.0,0.6,0,1,4.0,64.0,0.0625,snappy,-0.02839342777146751,large
3,1,96.96263161802753,3,2048.0,2048.0,0.6,0,1,4.0,64.0,0.0625,snappy,-0.03640975317784437,large
4,0,96.43514565730202,3,3072.0,2048.0,0.6,0,1,8.0,96.0,0.0625,snappy,-0.030771585305978708,large
4,1,95.94949917500693,2,3072.0,2048.0,0.6,0,1,8.0,96.0,0.0625,snappy,-0.025580629342345874,large
5,0,102.65486452132534,3,3072.0,2048.0,0.4,0,1,8.0,64.0,0.0625,snappy,-0.09725263254170063,large
5,1,103.5153410396913,2,3072.0,2048.0,0.4,0,1,8.0,64.0,0.0625,snappy,-0.1064500546942692,large
6,0,91.69721247163629,3,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,0.019871018773425942,large
6,1,93.53715559246479,2,3072.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.020065420433555966,large
7,0,92.830733926532,3,2048.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.01236156939063261,large
7,1,93.62533104897507,2,2048.0,2048.0,0.7,0,1,8.0,64.0,0.0625,snappy,-0.02102701407564797,large
